Renal	artery	39	42	3.2	0.26	0.053	4	58.4	30	30		
Common	iliac	49	51	5.8	0.52	0.076	4	27.3	46	46
External	iliac	55	58	8.3	0.29	0.055	4	21.3	49	51
Internal	iliac	56	57	5	0.2	0.04	16	74.1	49	51
External	iliac	64	65	6.1	0.27	0.053	4	30.1	55	58
Femoral	artery	70	73	12.7	0.24	0.05	8	21.1	64	65
Profundis	artery	71	72	12.6	0.23	0.049	16	30.3	64	65
Femoral	artery	75	76	12.7	0.24	0.05	8	21.1	70	73
Popliteal	artery	77	78	9.4	0.2	0.047	8	30.2	75	76
Popliteal	artery	79	80	9.4	0.2	0.05	4	22	77	78
Anteriortibial	artery	81	84	2.5	0.13	0.039	16	181.5	79	80
Anteriortibial	artery	85	88	15	0.1	0.02	16	24.7	81	84
Anteriortibial	artery	89	90	15	0.1	0.02	16	24.7	85	88
Posteriortibial	artery	82	83	16.1	0.18	0.045	16	25.7	79	80
Posteriortibial	artery	86	87	16.1	0.18	0.045	16	25.7	82	83
Internal	carotid	20	24	5.9	0.18	0.045	8	49.6	15	17
External	carotid	21	23	11.8	0.15	0.042	8	26.3	15	17
Internal	carotid	27	32	5.9	0.13	0.039	8	54.4	20	24
Cerebral	artery	28	31	5.9	0.08	0.026	16	80	35	43
Internal	carotid	35	43	5.9	0.08	0.026	16	80	27	32
Subclavian	artery	7	13	6.8	0.4	0.066	4	24.7	3	6
Vertebral	artery	8	12	14.8	0.19	0.045	8	19.2	3	6
Axilliary	artery	14	18	6.1	0.36	0.062	4	28.2	7	13
Axillary	artery	19	25	5.6	0.31	0.057	4	31.7	14	18
Brachial	artery	26	33	6.3	0.28	0.055	4	29.1	19	25
Brachial	artery	34	44	6.3	0.26	0.053	4	29.7	26	33
Brachial	artery	45	47	6.3	0.25	0.052	4	29.9	34	44
Brachial	artery	48	52	4.6	0.24	0.05	4	41.1	45	47
Ulnar	artery	53	60	6.7	0.21	0.049	8	42.2	48	52
Radial	artery	54	59	11.7	0.16	0.043	8	25.9	48	52
Ulnar	artery	61	68	8.5	0.19	0.0462	8	33.9	53	60
Interossea	artery	62	67	7.9	0.09	0.028	16	58.5	53	60
Radial	artery	63	66	11.7	0.16	0.043	8	25.9	54	59
Ulnar	artery	69	74	8.5	0.19	0.046	8	33.9	61	68
